id	document	label
1	3만원대 노트북 파우치에 높이조절 거치대를 담았다! 미세높이조절 53도!	1
2	맥북2대 2.5시간 완충! 120W-PD+70W-올인원A 멀티 고속충전기	1
3	퍼퓸계의 미슐랭 3-STAR. 죽기 전에 발라봐야 할 바디로션이 돌아왔다	1
4	[ 손톱 호강/5천원 ] 큐티클 순삭은 기본이죠! 유향미르 네일 에센스	1
5	물리치료사와 작업치료사가 연구, 개발한 손목보호대	1
6	[누적2.5억] 말랑말랑 "핏넥'베개가 일체형'원바디'가 되어 돌아왔어요	1
7	[임상시험완료! 꿀잠각] 수면이 숙면으로 바뀌는 수면캡슐이 40만원대에?	1
8	[평점 4.9점 앵콜] 보들보들 끝판왕 | 후기가 증명한 인생팬티!	1
9	올 겨울 대세템ㅣ머플러 + 후드 = 한섬이 만든 79그램 경량 머플러	1
10	집에서 레이싱경기를?! 마리오카트와 슈퍼카로 즐기는 360도 스피드레이싱	1
11	IT인프라산업투자ㅣ삼성전자,SK하이닉스 납품ㅣ88억매출달성	0
12	종료 D-dayㅣ공유킥보드 Top3기업, 더스윙	0
13	한국영화 기대작 3편 포트폴리오투자	0
14	천만 재테크족을 위한 혁신적 대안을 만들어가는 '불리오'	0
15	10주년 맞이, 그린플러그드 2019!	0
16	영화 투자ㅣ'20년 개봉ㅣ전도연,정우성/설경구,이선균 주연	0
17	마켓컬리부터 이마트까지,아시아 식품강자 TBM!	0
18	창업하고 싶은 착한 프랜차이즈 '커피에반하다'	0
19	펀딩률 300% 돌파ㅣ한류투자ㅣBTS데뷔 2400일의 여정	0
20	40만 흥행 원작, 러빙빈센트 전	0
